Teff,BCj,BCv,BC_Gp,U_Gp,B_Gp,Gp_V,Gp_Rc,Gp_Ic,Gp_T,Bp_Gp,Gp_Rp,Gp_J,Gp_H,Gp_K,BCje,BCve,BC_Gpe,U_Gpe,B_Gpe,Gp_Ve,Gp_Rce,Gp_Ice,Gp_Te,Bp_Gpe,Gp_Rpe,Gp_Je,Gp_He,Gp_Ke
21900.0,-2.664,-2.108,-2.09,-1.151,-0.209,-0.018,-0.118,-0.252,-0.229,-0.129,-0.243,-0.574,-0.665,-0.742,0.025,0.027,0.03,0.03,0.001,0.003,0.001,0.001,0.001,0.002,0.001,0.005,0.005,0.007
21950.0,-2.674,-2.117,-2.099,-1.143,-0.209,-0.018,-0.118,-0.252,-0.23,-0.129,-0.243,-0.574,-0.665,-0.742,0.021,0.024,0.027,0.022,0.001,0.003,0.001,0.001,0.001,0.002,0.001,0.005,0.005,0.006
22000.0,-2.686,-2.13,-2.112,-1.141,-0.209,-0.017,-0.118,-0.253,-0.23,-0.129,-0.244,-0.574,-0.666,-0.742,0.017,0.018,0.021,0.016,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.004,0.004,0.005
22050.0,-2.688,-2.13,-2.112,-1.149,-0.209,-0.018,-0.118,-0.253,-0.231,-0.129,-0.244,-0.576,-0.668,-0.745,0.022,0.024,0.027,0.026,0.001,0.003,0.001,0.001,0.001,0.002,0.001,0.005,0.005,0.006
22100.0,-2.69,-2.131,-2.113,-1.154,-0.21,-0.018,-0.119,-0.254,-0.231,-0.13,-0.245,-0.578,-0.67,-0.747,0.024,0.026,0.029,0.028,0.001,0.003,0.001,0.001,0.001,0.002,0.001,0.005,0.005,0.006
22150.0,-2.705,-2.146,-2.129,-1.147,-0.21,-0.018,-0.119,-0.254,-0.232,-0.129,-0.245,-0.578,-0.67,-0.747,0.016,0.016,0.017,0.017,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.004,0.004,0.005
22200.0,-2.705,-2.144,-2.126,-1.158,-0.21,-0.019,-0.119,-0.255,-0.232,-0.13,-0.245,-0.58,-0.673,-0.75,0.023,0.024,0.028,0.029,0.001,0.003,0.001,0.001,0.001,0.002,0.0,0.004,0.004,0.006
22250.0,-2.713,-2.152,-2.133,-1.152,-0.21,-0.018,-0.119,-0.255,-0.233,-0.13,-0.246,-0.58,-0.673,-0.75,0.022,0.023,0.026,0.018,0.001,0.003,0.001,0.001,0.001,0.001,0.0,0.004,0.004,0.005
22300.0,-2.721,-2.158,-2.14,-1.158,-0.211,-0.018,-0.12,-0.256,-0.233,-0.13,-0.246,-0.582,-0.675,-0.752,0.021,0.022,0.025,0.023,0.001,0.003,0.001,0.001,0.001,0.002,0.0,0.004,0.004,0.005
22350.0,-2.722,-2.158,-2.139,-1.165,-0.211,-0.019,-0.12,-0.256,-0.234,-0.131,-0.247,-0.583,-0.677,-0.755,0.025,0.027,0.03,0.028,0.001,0.003,0.001,0.001,0.001,0.001,0.0,0.004,0.004,0.005
22400.0,-2.736,-2.171,-2.153,-1.157,-0.211,-0.018,-0.12,-0.257,-0.234,-0.131,-0.247,-0.583,-0.677,-0.754,0.019,0.02,0.022,0.018,0.001,0.003,0.001,0.001,0.001,0.001,0.0,0.004,0.004,0.005
22450.0,-2.743,-2.177,-2.159,-1.158,-0.211,-0.018,-0.12,-0.257,-0.234,-0.131,-0.248,-0.584,-0.678,-0.756,0.018,0.018,0.02,0.017,0.001,0.002,0.001,0.001,0.0,0.001,0.0,0.003,0.003,0.004
22500.0,-2.738,-2.171,-2.152,-1.169,-0.212,-0.019,-0.121,-0.258,-0.235,-0.131,-0.248,-0.586,-0.68,-0.758,0.028,0.029,0.033,0.028,0.001,0.003,0.001,0.001,0.0,0.002,0.0,0.004,0.003,0.005
22550.0,-2.753,-2.185,-2.167,-1.168,-0.212,-0.019,-0.121,-0.258,-0.235,-0.132,-0.249,-0.587,-0.681,-0.76,0.022,0.022,0.024,0.024,0.001,0.003,0.001,0.0,0.0,0.002,0.0,0.004,0.003,0.005
22600.0,-2.754,-2.185,-2.165,-1.175,-0.212,-0.019,-0.121,-0.259,-0.236,-0.132,-0.249,-0.589,-0.683,-0.762,0.026,0.027,0.03,0.029,0.001,0.003,0.001,0.0,0.0,0.001,0.0,0.003,0.003,0.004
22650.0,-2.76,-2.19,-2.171,-1.171,-0.212,-0.019,-0.121,-0.259,-0.236,-0.132,-0.249,-0.589,-0.684,-0.763,0.026,0.026,0.029,0.023,0.001,0.003,0.001,0.0,0.0,0.001,0.0,0.004,0.003,0.005
22700.0,-2.776,-2.204,-2.186,-1.169,-0.212,-0.019,-0.122,-0.26,-0.237,-0.132,-0.25,-0.59,-0.685,-0.764,0.016,0.016,0.018,0.018,0.001,0.002,0.001,0.001,0.0,0.001,0.0,0.004,0.003,0.005
22750.0,-2.771,-2.199,-2.179,-1.179,-0.213,-0.02,-0.122,-0.26,-0.237,-0.133,-0.25,-0.592,-0.687,-0.766,0.026,0.027,0.031,0.027,0.001,0.003,0.001,0.0,0.0,0.001,0.0,0.003,0.003,0.004
22800.0,-2.788,-2.215,-2.197,-1.168,-0.213,-0.018,-0.122,-0.261,-0.238,-0.132,-0.251,-0.591,-0.687,-0.766,0.018,0.017,0.018,0.012,0.0,0.002,0.001,0.0,0.0,0.001,0.0,0.003,0.002,0.004
22850.0,-2.785,-2.212,-2.192,-1.176,-0.213,-0.019,-0.122,-0.261,-0.238,-0.133,-0.251,-0.593,-0.688,-0.768,0.028,0.028,0.031,0.02,0.0,0.003,0.001,0.0,0.0,0.001,0.0,0.003,0.002,0.003
22900.0,-2.789,-2.214,-2.194,-1.186,-0.213,-0.02,-0.123,-0.262,-0.238,-0.133,-0.252,-0.595,-0.69,-0.77,0.028,0.028,0.031,0.029,0.001,0.003,0.001,0.0,0.0,0.001,0.0,0.002,0.002,0.003
22950.0,-2.797,-2.221,-2.201,-1.184,-0.213,-0.02,-0.123,-0.262,-0.239,-0.133,-0.252,-0.596,-0.691,-0.771,0.028,0.027,0.03,0.025,0.0,0.003,0.001,0.0,0.0,0.001,0.0,0.003,0.002,0.003
23000.0,-2.809,-2.232,-2.212,-1.181,-0.214,-0.019,-0.123,-0.263,-0.239,-0.133,-0.253,-0.596,-0.692,-0.772,0.018,0.019,0.022,0.019,0.0,0.003,0.001,0.0,0.0,0.001,0.001,0.003,0.002,0.003
23050.0,-2.806,-2.229,-2.208,-1.192,-0.214,-0.02,-0.123,-0.263,-0.24,-0.134,-0.253,-0.598,-0.694,-0.775,0.029,0.029,0.032,0.03,0.001,0.003,0.001,0.0,0.0,0.001,0.001,0.002,0.002,0.002
23100.0,-2.82,-2.242,-2.222,-1.183,-0.214,-0.019,-0.124,-0.264,-0.24,-0.134,-0.253,-0.598,-0.695,-0.775,0.019,0.02,0.022,0.017,0.001,0.002,0.001,0.001,0.0,0.001,0.001,0.002,0.002,0.003
23150.0,-2.828,-2.248,-2.229,-1.181,-0.214,-0.019,-0.124,-0.264,-0.241,-0.134,-0.254,-0.599,-0.695,-0.776,0.022,0.02,0.022,0.01,0.0,0.001,0.001,0.001,0.0,0.001,0.001,0.002,0.002,0.002
23200.0,-2.826,-2.245,-2.225,-1.195,-0.215,-0.02,-0.124,-0.265,-0.241,-0.135,-0.254,-0.601,-0.697,-0.779,0.028,0.028,0.032,0.026,0.0,0.003,0.001,0.0,0.0,0.001,0.001,0.002,0.001,0.002
23250.0,-2.827,-2.246,-2.225,-1.2,-0.215,-0.021,-0.124,-0.265,-0.242,-0.135,-0.255,-0.602,-0.698,-0.78,0.03,0.029,0.032,0.029,0.001,0.003,0.001,0.001,0.0,0.001,0.001,0.002,0.001,0.002
23300.0,-2.851,-2.269,-2.25,-1.186,-0.215,-0.019,-0.124,-0.266,-0.242,-0.134,-0.255,-0.602,-0.699,-0.78,0.012,0.011,0.012,0.01,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.002
23350.0,-2.845,-2.262,-2.242,-1.198,-0.215,-0.02,-0.125,-0.266,-0.242,-0.135,-0.256,-0.604,-0.701,-0.783,0.027,0.026,0.03,0.023,0.001,0.003,0.001,0.001,0.0,0.001,0.001,0.002,0.001,0.002
23400.0,-2.844,-2.26,-2.238,-1.207,-0.215,-0.021,-0.125,-0.267,-0.243,-0.136,-0.256,-0.605,-0.702,-0.784,0.033,0.032,0.036,0.03,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002
23450.0,-2.868,-2.283,-2.263,-1.193,-0.216,-0.019,-0.125,-0.267,-0.243,-0.135,-0.257,-0.605,-0.703,-0.785,0.012,0.011,0.012,0.011,0.0,0.002,0.0,0.001,0.0,0.001,0.0,0.002,0.001,0.002
23500.0,-2.862,-2.276,-2.255,-1.204,-0.216,-0.021,-0.126,-0.268,-0.244,-0.136,-0.257,-0.607,-0.704,-0.786,0.027,0.027,0.031,0.025,0.001,0.003,0.001,0.001,0.0,0.001,0.001,0.002,0.001,0.002
23550.0,-2.864,-2.277,-2.256,-1.21,-0.216,-0.021,-0.126,-0.268,-0.244,-0.136,-0.257,-0.608,-0.706,-0.788,0.033,0.031,0.035,0.029,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
23600.0,-2.884,-2.295,-2.275,-1.201,-0.217,-0.02,-0.126,-0.269,-0.245,-0.136,-0.258,-0.609,-0.707,-0.789,0.018,0.017,0.018,0.015,0.001,0.002,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.001
23650.0,-2.878,-2.289,-2.268,-1.213,-0.217,-0.021,-0.126,-0.269,-0.245,-0.137,-0.258,-0.61,-0.708,-0.791,0.032,0.031,0.034,0.029,0.001,0.003,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.002
23700.0,-2.882,-2.292,-2.27,-1.215,-0.217,-0.021,-0.127,-0.269,-0.245,-0.137,-0.258,-0.61,-0.709,-0.792,0.032,0.031,0.034,0.029,0.0,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002
23750.0,-2.901,-2.31,-2.29,-1.205,-0.217,-0.02,-0.127,-0.27,-0.246,-0.137,-0.259,-0.611,-0.71,-0.793,0.017,0.016,0.018,0.014,0.001,0.002,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001
23800.0,-2.896,-2.305,-2.283,-1.217,-0.217,-0.022,-0.127,-0.271,-0.246,-0.137,-0.259,-0.613,-0.712,-0.794,0.032,0.03,0.034,0.029,0.001,0.003,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
23850.0,-2.911,-2.318,-2.297,-1.21,-0.218,-0.021,-0.127,-0.271,-0.247,-0.137,-0.26,-0.614,-0.713,-0.796,0.02,0.019,0.021,0.016,0.0,0.002,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001
23900.0,-2.912,-2.318,-2.297,-1.217,-0.218,-0.021,-0.127,-0.272,-0.247,-0.138,-0.261,-0.614,-0.714,-0.797,0.027,0.025,0.028,0.024,0.001,0.003,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
23950.0,-2.914,-2.319,-2.297,-1.222,-0.218,-0.022,-0.128,-0.272,-0.248,-0.138,-0.261,-0.615,-0.715,-0.798,0.031,0.03,0.033,0.028,0.001,0.003,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24000.0,-2.927,-2.331,-2.31,-1.215,-0.219,-0.021,-0.128,-0.273,-0.248,-0.138,-0.261,-0.617,-0.717,-0.8,0.02,0.019,0.022,0.016,0.0,0.002,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001
24050.0,-2.933,-2.337,-2.316,-1.215,-0.219,-0.021,-0.128,-0.273,-0.249,-0.138,-0.262,-0.617,-0.718,-0.801,0.023,0.022,0.024,0.014,0.001,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24100.0,-2.92,-2.324,-2.302,-1.233,-0.219,-0.023,-0.129,-0.273,-0.248,-0.139,-0.261,-0.618,-0.719,-0.802,0.038,0.035,0.039,0.032,0.001,0.003,0.0,0.002,0.001,0.001,0.002,0.001,0.001,0.001
24150.0,-2.94,-2.341,-2.319,-1.224,-0.219,-0.022,-0.129,-0.274,-0.249,-0.139,-0.263,-0.62,-0.72,-0.804,0.026,0.024,0.027,0.02,0.0,0.003,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24200.0,-2.958,-2.357,-2.337,-1.216,-0.219,-0.02,-0.129,-0.275,-0.25,-0.138,-0.263,-0.62,-0.721,-0.805,0.013,0.012,0.014,0.008,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001
24250.0,-2.938,-2.339,-2.316,-1.238,-0.219,-0.023,-0.129,-0.274,-0.25,-0.139,-0.263,-0.621,-0.722,-0.807,0.039,0.034,0.038,0.033,0.001,0.003,0.0,0.002,0.002,0.001,0.002,0.001,0.001,0.001
24300.0,-2.952,-2.352,-2.329,-1.233,-0.22,-0.022,-0.13,-0.275,-0.251,-0.139,-0.264,-0.623,-0.724,-0.808,0.03,0.028,0.031,0.025,0.0,0.003,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24350.0,-2.975,-2.372,-2.351,-1.221,-0.22,-0.021,-0.13,-0.276,-0.251,-0.139,-0.265,-0.623,-0.725,-0.809,0.014,0.013,0.014,0.007,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001
24400.0,-2.966,-2.364,-2.342,-1.233,-0.22,-0.022,-0.13,-0.276,-0.251,-0.14,-0.265,-0.624,-0.726,-0.811,0.031,0.029,0.032,0.022,0.001,0.003,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001
24450.0,-2.97,-2.366,-2.343,-1.238,-0.221,-0.023,-0.13,-0.277,-0.252,-0.14,-0.265,-0.626,-0.727,-0.812,0.031,0.029,0.032,0.025,0.001,0.003,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24500.0,-2.984,-2.379,-2.357,-1.231,-0.221,-0.022,-0.131,-0.278,-0.253,-0.14,-0.266,-0.626,-0.728,-0.813,0.024,0.023,0.025,0.016,0.001,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24550.0,-2.984,-2.379,-2.356,-1.238,-0.221,-0.022,-0.131,-0.278,-0.253,-0.14,-0.266,-0.628,-0.729,-0.815,0.032,0.029,0.032,0.023,0.001,0.003,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24600.0,-2.987,-2.381,-2.358,-1.242,-0.221,-0.023,-0.131,-0.278,-0.253,-0.141,-0.266,-0.629,-0.731,-0.816,0.031,0.029,0.032,0.025,0.001,0.003,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24650.0,-3.001,-2.393,-2.371,-1.236,-0.222,-0.022,-0.131,-0.279,-0.254,-0.141,-0.267,-0.629,-0.732,-0.817,0.022,0.021,0.023,0.016,0.001,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24700.0,-2.998,-2.39,-2.367,-1.245,-0.222,-0.023,-0.132,-0.279,-0.254,-0.141,-0.267,-0.63,-0.733,-0.819,0.033,0.03,0.033,0.026,0.001,0.003,0.0,0.002,0.001,0.001,0.002,0.001,0.001,0.001
24750.0,-3.002,-2.393,-2.37,-1.25,-0.222,-0.023,-0.132,-0.279,-0.254,-0.141,-0.267,-0.632,-0.734,-0.82,0.034,0.031,0.034,0.029,0.001,0.003,0.0,0.002,0.001,0.001,0.002,0.001,0.001,0.001
24800.0,-3.02,-2.409,-2.386,-1.242,-0.223,-0.022,-0.132,-0.281,-0.255,-0.141,-0.268,-0.633,-0.735,-0.821,0.021,0.019,0.022,0.016,0.001,0.002,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001
24850.0,-3.0,-2.391,-2.367,-1.261,-0.222,-0.024,-0.132,-0.279,-0.254,-0.142,-0.267,-0.633,-0.736,-0.822,0.037,0.031,0.034,0.033,0.002,0.003,0.0,0.003,0.002,0.0,0.003,0.001,0.001,0.001
24900.0,-3.021,-2.409,-2.386,-1.252,-0.223,-0.023,-0.133,-0.281,-0.256,-0.142,-0.269,-0.634,-0.738,-0.824,0.031,0.029,0.033,0.026,0.001,0.003,0.0,0.001,0.001,0.001,0.002,0.001,0.001,0.001
24950.0,-3.022,-2.41,-2.386,-1.256,-0.223,-0.024,-0.133,-0.281,-0.256,-0.142,-0.269,-0.635,-0.739,-0.825,0.034,0.031,0.034,0.028,0.001,0.003,0.0,0.002,0.001,0.001,0.002,0.0,0.001,0.001
25000.0,-3.033,-2.419,-2.396,-1.254,-0.223,-0.023,-0.133,-0.282,-0.257,-0.142,-0.27,-0.636,-0.74,-0.826,0.032,0.029,0.033,0.025,0.001,0.003,0.0,0.001,0.001,0.001,0.002,0.001,0.001,0.001
25050.0,-3.03,-2.417,-2.393,-1.263,-0.223,-0.024,-0.133,-0.282,-0.257,-0.143,-0.27,-0.637,-0.741,-0.828,0.038,0.033,0.037,0.032,0.001,0.003,0.0,0.002,0.002,0.001,0.002,0.001,0.001,0.001
25100.0,-3.039,-2.424,-2.4,-1.26,-0.224,-0.024,-0.134,-0.283,-0.257,-0.143,-0.27,-0.639,-0.742,-0.829,0.035,0.031,0.034,0.027,0.001,0.003,0.0,0.002,0.001,0.001,0.002,0.0,0.001,0.001
25150.0,-3.04,-2.425,-2.4,-1.259,-0.224,-0.024,-0.134,-0.283,-0.257,-0.143,-0.27,-0.639,-0.743,-0.831,0.039,0.034,0.037,0.026,0.002,0.003,0.0,0.002,0.002,0.001,0.002,0.001,0.001,0.001
25200.0,-3.046,-2.43,-2.405,-1.268,-0.224,-0.024,-0.134,-0.283,-0.258,-0.143,-0.271,-0.64,-0.745,-0.832,0.035,0.03,0.033,0.029,0.001,0.003,0.0,0.002,0.002,0.001,0.002,0.001,0.001,0.001
25250.0,-3.057,-2.439,-2.415,-1.266,-0.225,-0.024,-0.135,-0.284,-0.259,-0.144,-0.272,-0.641,-0.746,-0.833,0.032,0.028,0.031,0.026,0.001,0.003,0.0,0.002,0.001,0.0,0.002,0.001,0.001,0.001
25300.0,-3.075,-2.455,-2.432,-1.256,-0.225,-0.023,-0.135,-0.286,-0.26,-0.144,-0.273,-0.642,-0.747,-0.834,0.021,0.019,0.021,0.015,0.001,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
25350.0,-3.073,-2.453,-2.429,-1.264,-0.225,-0.024,-0.135,-0.286,-0.26,-0.144,-0.273,-0.643,-0.748,-0.836,0.031,0.028,0.032,0.024,0.001,0.003,0.0,0.001,0.001,0.001,0.002,0.001,0.001,0.001
25400.0,-3.074,-2.453,-2.429,-1.269,-0.225,-0.024,-0.135,-0.286,-0.26,-0.144,-0.273,-0.644,-0.749,-0.837,0.033,0.03,0.033,0.026,0.001,0.003,0.0,0.002,0.001,0.001,0.002,0.001,0.001,0.001
25450.0,-3.076,-2.455,-2.431,-1.27,-0.225,-0.024,-0.136,-0.286,-0.26,-0.144,-0.273,-0.645,-0.75,-0.838,0.034,0.031,0.034,0.027,0.001,0.003,0.0,0.002,0.002,0.001,0.002,0.0,0.001,0.001
25500.0,-3.094,-2.471,-2.448,-1.261,-0.226,-0.023,-0.136,-0.287,-0.261,-0.144,-0.275,-0.646,-0.752,-0.84,0.026,0.024,0.026,0.014,0.0,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
25550.0,-3.087,-2.464,-2.439,-1.273,-0.226,-0.025,-0.136,-0.287,-0.261,-0.145,-0.274,-0.647,-0.753,-0.841,0.033,0.031,0.034,0.025,0.001,0.003,0.0,0.002,0.001,0.0,0.002,0.001,0.001,0.001
25600.0,-3.094,-2.47,-2.446,-1.274,-0.226,-0.025,-0.136,-0.288,-0.262,-0.145,-0.275,-0.648,-0.754,-0.843,0.033,0.029,0.032,0.024,0.001,0.003,0.0,0.002,0.001,0.001,0.002,0.001,0.001,0.001
25650.0,-3.105,-2.48,-2.455,-1.272,-0.227,-0.024,-0.137,-0.289,-0.262,-0.145,-0.276,-0.65,-0.755,-0.844,0.031,0.028,0.031,0.022,0.001,0.003,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
25700.0,-3.118,-2.49,-2.466,-1.27,-0.227,-0.024,-0.137,-0.29,-0.263,-0.145,-0.277,-0.65,-0.757,-0.845,0.021,0.02,0.022,0.018,0.0,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
25750.0,-3.112,-2.485,-2.46,-1.28,-0.227,-0.025,-0.137,-0.289,-0.263,-0.146,-0.276,-0.652,-0.758,-0.847,0.029,0.028,0.031,0.024,0.001,0.003,0.0,0.002,0.001,0.0,0.002,0.001,0.001,0.001
25800.0,-3.129,-2.5,-2.476,-1.27,-0.228,-0.024,-0.138,-0.291,-0.264,-0.146,-0.277,-0.652,-0.759,-0.848,0.022,0.021,0.023,0.014,0.0,0.002,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001
25850.0,-3.119,-2.49,-2.465,-1.278,-0.228,-0.025,-0.138,-0.29,-0.264,-0.146,-0.277,-0.653,-0.76,-0.849,0.036,0.031,0.034,0.023,0.001,0.003,0.0,0.002,0.001,0.001,0.002,0.0,0.001,0.001
25900.0,-3.13,-2.5,-2.475,-1.28,-0.228,-0.025,-0.138,-0.291,-0.265,-0.146,-0.278,-0.654,-0.761,-0.85,0.029,0.027,0.03,0.023,0.001,0.003,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
25950.0,-3.131,-2.501,-2.476,-1.284,-0.228,-0.025,-0.138,-0.291,-0.265,-0.147,-0.278,-0.655,-0.762,-0.852,0.027,0.024,0.026,0.024,0.001,0.003,0.0,0.002,0.001,0.001,0.002,0.0,0.001,0.001
26000.0,-3.146,-2.513,-2.488,-1.274,-0.229,-0.024,-0.139,-0.293,-0.266,-0.146,-0.279,-0.656,-0.763,-0.853,0.027,0.024,0.027,0.012,0.0,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
26050.0,-3.148,-2.515,-2.49,-1.28,-0.229,-0.025,-0.139,-0.293,-0.266,-0.147,-0.279,-0.657,-0.765,-0.854,0.028,0.026,0.029,0.017,0.001,0.002,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001
26100.0,-3.15,-2.517,-2.491,-1.287,-0.229,-0.025,-0.139,-0.293,-0.266,-0.147,-0.28,-0.658,-0.766,-0.856,0.028,0.025,0.027,0.022,0.001,0.003,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001
26150.0,-3.165,-2.53,-2.506,-1.279,-0.23,-0.024,-0.139,-0.294,-0.267,-0.147,-0.281,-0.659,-0.767,-0.857,0.022,0.021,0.023,0.012,0.0,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
26200.0,-3.167,-2.531,-2.506,-1.279,-0.23,-0.024,-0.14,-0.295,-0.268,-0.147,-0.281,-0.66,-0.768,-0.858,0.025,0.024,0.026,0.012,0.0,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
26250.0,-3.168,-2.532,-2.506,-1.29,-0.23,-0.026,-0.14,-0.295,-0.268,-0.148,-0.281,-0.661,-0.769,-0.86,0.029,0.026,0.029,0.021,0.001,0.003,0.0,0.001,0.001,0.0,0.001,0.0,0.001,0.001
26300.0,-3.174,-2.536,-2.511,-1.29,-0.231,-0.025,-0.14,-0.295,-0.268,-0.148,-0.282,-0.662,-0.771,-0.861,0.026,0.024,0.026,0.017,0.001,0.002,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001
26350.0,-3.19,-2.551,-2.526,-1.282,-0.231,-0.024,-0.141,-0.296,-0.269,-0.148,-0.283,-0.663,-0.771,-0.862,0.017,0.017,0.018,0.01,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
26400.0,-3.184,-2.545,-2.519,-1.291,-0.231,-0.025,-0.141,-0.296,-0.269,-0.148,-0.282,-0.664,-0.773,-0.863,0.027,0.024,0.027,0.019,0.001,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
26450.0,-3.193,-2.552,-2.527,-1.293,-0.232,-0.025,-0.141,-0.297,-0.27,-0.149,-0.283,-0.665,-0.774,-0.865,0.021,0.02,0.022,0.017,0.0,0.002,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001
26500.0,-3.199,-2.558,-2.533,-1.29,-0.232,-0.025,-0.141,-0.298,-0.27,-0.149,-0.284,-0.666,-0.775,-0.866,0.023,0.02,0.022,0.014,0.0,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
26550.0,-3.206,-2.563,-2.538,-1.294,-0.232,-0.026,-0.142,-0.298,-0.271,-0.149,-0.284,-0.667,-0.776,-0.867,0.023,0.022,0.024,0.018,0.0,0.002,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001
26600.0,-3.217,-2.573,-2.548,-1.29,-0.232,-0.025,-0.142,-0.299,-0.271,-0.149,-0.285,-0.668,-0.777,-0.869,0.016,0.015,0.017,0.01,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001
26650.0,-3.209,-2.565,-2.539,-1.299,-0.232,-0.026,-0.142,-0.299,-0.271,-0.15,-0.285,-0.669,-0.779,-0.87,0.025,0.022,0.024,0.017,0.001,0.002,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001
26700.0,-3.227,-2.582,-2.557,-1.292,-0.233,-0.025,-0.142,-0.3,-0.272,-0.149,-0.286,-0.67,-0.78,-0.871,0.015,0.015,0.016,0.01,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.001
26750.0,-3.233,-2.586,-2.561,-1.293,-0.233,-0.025,-0.143,-0.3,-0.273,-0.15,-0.286,-0.671,-0.781,-0.872,0.015,0.015,0.017,0.01,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
26800.0,-3.23,-2.583,-2.557,-1.3,-0.233,-0.026,-0.143,-0.301,-0.273,-0.15,-0.287,-0.672,-0.782,-0.874,0.024,0.022,0.024,0.016,0.0,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
26850.0,-3.234,-2.586,-2.561,-1.3,-0.234,-0.026,-0.143,-0.301,-0.273,-0.15,-0.287,-0.673,-0.783,-0.875,0.018,0.017,0.019,0.012,0.0,0.002,0.0,0.001,0.001,0.0,0.001,0.0,0.001,0.001
26900.0,-3.248,-2.599,-2.573,-1.297,-0.234,-0.025,-0.144,-0.302,-0.274,-0.15,-0.288,-0.674,-0.784,-0.876,0.014,0.014,0.016,0.009,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.001,0.001
26950.0,-3.245,-2.595,-2.569,-1.304,-0.234,-0.026,-0.144,-0.302,-0.274,-0.151,-0.288,-0.675,-0.785,-0.878,0.022,0.022,0.024,0.017,0.0,0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.001
27000.0,-3.251,-2.6,-2.574,-1.305,-0.235,-0.026,-0.144,-0.303,-0.275,-0.151,-0.288,-0.676,-0.787,-0.879,0.019,0.018,0.02,0.013,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001
27050.0,-3.259,-2.607,-2.581,-1.302,-0.235,-0.026,-0.144,-0.304,-0.275,-0.151,-0.289,-0.677,-0.788,-0.88,0.017,0.017,0.019,0.01,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
27100.0,-3.267,-2.615,-2.589,-1.302,-0.235,-0.026,-0.145,-0.304,-0.276,-0.151,-0.289,-0.678,-0.789,-0.881,0.015,0.014,0.016,0.009,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
